No,Student ID,First Name,Last Name,Gender,Date of Birth,Social ID,Class,Password
1,20280001,Ho Ngoc,An ,Nam,25/5/2002,157863159,20KDL1,123456789
2,20280002,Nguyen Dinh,An,Nu,30/9/2002,169536895,20KDL1,123456789
3,20280003,Nguyen Phuoc Hong,An,Nam,16/12/2002,326862365,20KDL1,123456789
4,20280004,Tran Hoang,Anh,Nam,9/8/2002,215964156,20KDL1,123456789
5,20280005,Nguyen Que,Anh,Nu,6/11/2002,546835432,20KDL1,123456789
6,20280006,Nguyen Quoc,Bao,Nam,13/2/2002,213546652,20KDL1,123456789
7,20280007,Vo Thai,Binh,Nam,3/9/2002,123145687,20KDL2,123456789
8,20280008,Nguyen Huu,Can,Nam,16/2/2002,136546546,20KDL2,123456789
9,20280009,Tran Huu Chi,Cong,Nam,9/8/2002,416546835,20KDL2,123456789
10,20280010,Pham Bao,Cuong,Nam,17/1/2002,231654680,20KDL2,123456789
11,20280011,Hoang Hai,Dang,Nam,16/5/2002,231657098,20KDL2,123456789
12,20280012,Huynh Tan,Dat,Nam,11/4/2002,897465413,20KDL2,123456789
13,20280013,Ngo Truong Minh,Dat,Nam,16/9/2002,654654654,20KDL2,123456789
14,20280014,Nguyen Minh Hoang,Dat,Nam,19/11/2002,197455999,20KDL2,123456789
15,20280015,Phu Chi,Dat,Nam,3/8/2002,313546546,20KDL2,123456789
16,20280016,Tran Tien,Dat,Nam,3/2/2002,321346545,20KDL2,123456789
17,20280017,Nguyen Nhat,Do,Nam,2/8/2002,878973541,20KDL3,123456789
18,20280018,Duong Vi,Doanh,Nam,3/9/2002,231656749,20KDL3,123456789
19,20280019,Nguyen Trung,Duc,Nam,18/4/2002,321657983,20KDL3,123456789
20,20280020,Huynh Viet,Dung,Nam,16/6/2002,321585867,20KDL3,123456789
21,20280021,Nguyen Quoc,Duong,Nam,26/5/2002,197626548,20KDL1,123456789
22,20280022,Quach Phong,Duong,Nam,16/9/2002,321657485,20KDL2,123456789
23,20280023,Nguyen Le Ngoc,Duy,Nam,3/4/2002,351564786,20KDL3,123456789
24,20280024,Tran Nguyen Nhat,Duy,Nam,16/8/2002,321321023,20KDL1,123456789
25,20280025,Dao Thi Bich,Giang,Nu,19/4/2002,231534322,20KDL1,123456789
26,20280026,Nguyen Xuan,Hai,Nam,21/4/2002,876564753,20KDL1,123456789
27,20280027,Le Viet,Han,Nam,30/9/2002,898745635,20KDL1,123456789
28,20280028,Le Thi My,Hang,Nu,18/5/2002,187835842,20KDL1,123456789
29,20280029,Nguyen Nhat,Hao,Nam,16/7/2002,989635451,20KDL1,123456789
30,20280030,Cao Minh,Hieu,Nam,12/3/2002,785635421,20KDL2,123456789
31,20280031,Huynh Doan,Ho,Nam,14/4/2002,423548485,20KDL2,123456789
32,20280032,Nguyen Thi,Hoa,Nu,18/8/2002,135438543,20KDL3,123456789
33,20280033,Ha Thu,Hoang,Nam,16/4/2002,321573212,20KDL3,123456789
34,20280034,Nguyen Huy,Hoang,Nam,8/7/2002,165465465,20KDL3,123456789
35,20280035,Nguyen Minh,Hoang,Nam,15/7/2002,654678321,20KDL3,123456789
36,20280036,Nguyen Van,Huan,Nam,19/11/2002,168786516,20KDL3,123456789
37,20280037,Nguyen Thanh,Hung,Nam,13/12/2002,573521483,20KDL3,123456789
38,20280038,Dang Ngoc,Hung,Nam,16/2/2002,654567684,20KDL2,123456789
39,20280039,Nguyen Dinh,Hung,Nam,13/11/2002,546878210,20KDL1,123456789
40,20280040,Le Hoang,Huy,Nam,17/10/2002,354867687,20KDL3,123456789
41,20120001,Nguyen Khai,Huy,Nam,16/7/2002,1973635486,20TTH1,123456789
42,20120002,Nguyen Nhat,Huy,Nam,12/8/2002,4354354354,20TTH1,123456789
43,20120003,Vu Quang,Huy,Nam,16/3/2001,8673515832,20TTH1,123456789
44,20120004,Nguyen Le Dieu,Huyen,Nu,15/7/2002,3466521323,20TTH1,123456789
45,20120005,Tran Nguyen Trong,Khai,Nam,22/1/2000,1354768540,20TTH1,123456789
46,20120006,Huynh Bao,Khang,Nam,11/12/2001,8743213201,20TTH1,123456789
47,20120007,Truong Quoc,Khang,Nam,13/2/2002,3216560863,20TTH1,123456789
48,20120008,Tran Dang Quoc,Khanh,Nam,16/6/1998,2138406543,20TTH1,123456789
49,20120009,Vo Tuan,Kiet,Nam,18/8/1999,3546843510,20TTH1,123456789
50,20120010,Phan Tien,Ky,Nam,16/3/2002,9895354874,20TTH1,123456789
51,20120011,Dang Yen,Linh,Nu,14/4/2000,3210186083,20TTH1,123456789
52,20120012,Tran Hoang Gia,Linh,Nam,13/9/2002,8746840680,20TTH2,123456789
53,20120013,Tran Nguyen Tien,Loc,Nam,15/2/2002,6874076846,20TTH2,123456789
