No,Teacher ID,First Name,Last Name,Gender,Social ID,Faculty,Password
1,12101345,Nguyen Le Anh,Tu,Nam,234887615,Cong Nghe Thong Tin,123456789
2,12596361,Mai Thi Lan,Vy,Nu,986219843,Cong Nghe Thong Tin,123456789
3,12358685,Tran  Huy,Quang,Nam,165089650,Cong Nghe Thong Tin,123456789
4,12876513,Nguyen Le Hoang,Dung,Nam,568369102,Cong Nghe Thong Tin,123456789
5,12376845,Vo Van,Viet,Nam,486215366,Cong Nghe Thong Tin,123456789
6,13535241,Cao Anh,Tuan,Nam,865414966,Toan-Tin hoc,123456789
7,13873521,Dao Minh,Huy,Nam,568489651,Toan-Tin hoc,123456789
8,13543210,Huynh Tuan,Khai,Nam,835118950,Toan-Tin hoc,123456789
9,13563648,Bui Anh,Tuan,Nam,167852014,Toan-Tin hoc,123456789
10,13854866,Nguyen Minh,Huy,Nam,568901002,Toan-Tin hoc,123456789
11,14687954,Tran Nhu,Ngoc,Nu,105823695,Hoa hoc,123456789
12,14568765,Ho Thi Kieu,Linh,Nu,159836471,Hoa hoc,123456789
13,14987654,Kieu Minh,Tuan,Nam,895633147,Hoa hoc,123456789
14,14865301,Ly Minh,Duong,Nam,159878356,Hoa hoc,123456789
15,14621305,Cao Minh,Hieu,Nam,159832571,Hoa hoc,123456789
16,15168743,Hoang Minh,Dat,Nam,853320105,Sinh hoc,123456789
17,15998643,Tran Minh,Tai,Nam,871000235,Sinh hoc,123456789
18,15986332,Huynh Tan,Phat,Nam,589317770,Sinh hoc,123456789
19,15164546,Nguyen Minh,Tri,Nam,123356920,Sinh hoc,123456789
20,15985321,Nguyen Thi,Huyen,Nu,236866185,Sinh hoc,123456789
21,16865353,Tran Thi Nhu,Y,Nu,123369084,Vat ly hoc,123456789
22,16863165,Ly Minh,Cuong,Nam,594487662,Vat ly hoc,123456789
23,16865130,Nguyen Huy,Hoang,Nam,458999631,Vat ly hoc,123456789
24,16205358,Nguyen Thu,Huyen,Nu,461023995,Vat ly hoc,123456789
25,16983531,Nguyen Duy,Khuong,Nam,369410140,Vat ly hoc,123456789
26,17353105,Tran Khanh,Doan,Nam,986602013,Moi Truong hoc,123456789
27,17895320,Phan Minh,Duy,Nam,870136952,Moi Truong hoc,123456789
28,17654308,Tran Minh,Huong,Nu,841023694,Moi Truong hoc,123456789
29,17650866,Nguyen Duc,Kien,Nam,636911022,Moi Truong hoc,123456789
30,17086541,Vo Van,Toan,Nam,102369425,Moi Truong hoc,123456789
31,20685632,Vo Viet,Tho,Nam,156502566,Dai cuong,123456789
32,20569862,Le Viet,Thang,Nam,125984160,Dai cuong,123456789
33,20589854,Le Hoan,My,Nu,159877818,Dai cuong,123456789
34,20598736,Nguyen Minh Hoang,Duc,Nam,589835990,Dai cuong,123456789
35,20325519,Nguyen Duy,Duc,Nam,540235102,Dai cuong,123456789
36,20891163,Nguyen Thi,Nga,Nu,598763059,Dai cuong,123456789
37,20543059,Nguyen Tri,Hoan,Nam,448033691,Dai cuong,123456789
38,20483033,Tran Nam,Thien,Nam,159871002,Dai cuong,123456789
39,20130598,Tran Chi,Cong,Nam,105920316,Daic uong,123456789
40,20445992,Phan Trung,Tin,Nam,102557446,Dai cuong,123456789
